attributeName,attributeLabel,attributeDefinition,definition,missingValueCode,missingValueCodeExplanation,label...8,propertyURI,label...10,valueURI,measurementScale,domain,formatString,unit,numberType,label...9,label...11,metadata_pid
id,"NA",Row identifier,Row identifier,"NA",Missing value,"NA","NA","NA","NA",nominal,textDomain,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
eventID,"NA",An identifier for the set of information associated with an Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set.,An identifier for the set of information associated with an Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set.,"NA",Missing value,contains measurements of type,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,eventID,http://rs.tdwg.org/dwc/terms/eventID,nominal,textDomain,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
eventDate,"NA","The date-time or interval during which an Event occurred. For occurrences, this is the date-time when the event was recorded. Not suitable for a time in a geological context.",NA,"NA",Missing value,contains measurements of type,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,eventDate,http://rs.tdwg.org/dwc/terms/eventDate,dateTime,dateTimeDomain,YYYY-MM-DD,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
geodeticDatum,"NA","The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based.","The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based.","NA",Missing value,contains measurements of type,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,geodeticDatum,http://rs.tdwg.org/dwc/terms/geodeticDatum,nominal,textDomain,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
countryCode,"NA",The standard code for the country in which the Location occurs.,The standard code for the country in which the Location occurs.,"NA",Missing value,contains measurements of type,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,countryCode,http://rs.tdwg.org/dwc/terms/countryCode,nominal,textDomain,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
eventRemarks,"NA",Comments or notes about the Event.,Comments or notes about the Event.,"NA",Missing value,contains measurements of type,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,eventRemarks,http://rs.tdwg.org/dwc/terms/eventRemarks,nominal,textDomain,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
decimalLatitude,"NA","The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.",NA,"NA",Missing value,NA,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,NA,http://rs.tdwg.org/dwc/terms/decimalLatitude,ratio,numericDomain,NA,degree,real,contains measurements of type,decimalLatitude,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
decimalLongitude,"NA","The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.",NA,"NA",Missing value,NA,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,NA,http://rs.tdwg.org/dwc/terms/decimalLongitude,ratio,numericDomain,NA,degree,real,contains measurements of type,decimalLongitude,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
locationId,"NA",An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.,An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.,"NA",Missing value,contains measurements of type,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,locationId,http://rs.tdwg.org/dwc/terms/locationID,nominal,textDomain,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
minimumDepthInMeters,"NA","The lesser depth of a range of depth below the local surface, in meters.",NA,"NA",Missing value,NA,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,NA,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters,interval,numericDomain,NA,meter,real,contains measurements of type,minimumDepthInMeters,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
maximumDepthInMeters,"NA","The greater depth of a range of depth below the local surface, in meters.",NA,"NA",Missing value,NA,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,NA,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters,interval,numericDomain,NA,meter,real,contains measurements of type,maximumDepthInMeters,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
coordinateUncertaintyInMeters,"NA","The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term.",NA,"NA",Missing value,NA,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,NA,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,interval,numericDomain,NA,meter,real,contains measurements of type,coordinateUncertaintyInMeters,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
