attributeName,attributeLabel,attributeDefinition,definition,missingValueCode,missingValueCodeExplanation,label...8,propertyURI,label...10,valueURI,measurementScale,domain,label...7,label...9,unit,numberType,metadata_pid
id,"NA",Row identifier,Row identifier,"NA",Missing value,"NA","NA","NA","NA",nominal,textDomain,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
basisOfRecord,"NA",The specific nature of the data record.,The specific nature of the data record.,"NA",Missing value,contains measurements of type,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,basisOfRecord,http://rs.tdwg.org/dwc/terms/basisOfRecord,nominal,textDomain,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
organismName,NA,A textual name or label assigned to an Organism instance.,A textual name or label assigned to an Organism instance.,"NA",Missing value,NA,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,NA,http://rs.tdwg.org/dwc/terms/organismName,nominal,textDomain,contains measurements of type,organismName,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
organismQuantity,NA,A number or enumeration value for the quantity of organisms.,NA,"NA",Missing value,contains measurements of type,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,organismQuantity,http://rs.tdwg.org/dwc/terms/organismQuantity,interval,numericDomain,NA,NA,number,real,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
organismQuantityType,NA,The type of quantification system used for the quantity of organisms.,The type of quantification system used for the quantity of organisms.,"NA",Missing value,NA,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,NA,http://rs.tdwg.org/dwc/iri/organismQuantityType,nominal,textDomain,contains measurements of type,organismQuantityType,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
occurrenceID,"NA","An identifier for the Occurrence (as opposed to a particular digital record of the occurrence). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the occurrenceID globally unique.","An identifier for the Occurrence (as opposed to a particular digital record of the occurrence). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the occurrenceID globally unique.","NA",Missing value,contains measurements of type,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,occurrenceID,http://rs.tdwg.org/dwc/terms/occurrenceID,nominal,textDomain,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
occurrenceStatus,NA,A statement about the presence or absence of a Taxon at a Location.,A statement about the presence or absence of a Taxon at a Location.,"NA",Missing value,NA,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,NA,http://rs.tdwg.org/dwc/terms/occurrenceStatus,nominal,textDomain,contains measurements of type,occurrenceStatus,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
scientificName,"NA","The full scientific name, with authorship and date information if known. When forming part of an Identification, this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the IdentificationQualifier term.","The full scientific name, with authorship and date information if known. When forming part of an Identification, this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the IdentificationQualifier term.","NA",Missing value,contains measurements of type,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,scientificName,http://rs.tdwg.org/dwc/terms/scientificName,nominal,textDomain,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
scientificNameID,"NA",An identifier for the nomenclatural (not taxonomic) details of a scientific name.,An identifier for the nomenclatural (not taxonomic) details of a scientific name.,"NA",Missing value,contains measurements of type,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,scientificNameID,http://rs.tdwg.org/dwc/terms/scientificNameID,nominal,textDomain,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
taxonID,"NA",An identifier for the set of taxon information (data associated with the Taxon class). May be a global unique identifier or an identifier specific to the data set.,An identifier for the set of taxon information (data associated with the Taxon class). May be a global unique identifier or an identifier specific to the data set.,"NA",Missing value,contains measurements of type,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,taxonID,http://rs.tdwg.org/dwc/terms/taxonID,nominal,textDomain,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
kingdom,NA,The full scientific name of the kingdom in which the taxon is classified.,The full scientific name of the kingdom in which the taxon is classified.,"NA",Missing value,NA,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType,NA,http://rs.tdwg.org/dwc/terms/kingdom,nominal,textDomain,contains measurements of type,kingdom,NA,NA,https://pasta.lternet.edu/package/metadata/eml/edi/988/4
